payment_id,customer_id,subscription_id,date,amount,currency,status,plan
309,70,100,2022-02-21,499,USD,Paid,Enterprise
310,70,100,2022-03-21,499,USD,Paid,Enterprise
311,72,103,2022-02-21,199,USD,Paid,Business
312,72,103,2022-03-21,199,USD,Paid,Business
313,72,103,2022-04-21,199,USD,Paid,Business
314,72,103,2022-05-21,199,USD,Paid,Business
315,72,103,2022-06-21,199,USD,Paid,Business
316,72,104,2022-07-21,499,USD,Paid,Enterprise
317,72,104,2022-08-21,499,USD,Paid,Enterprise
318,72,104,2022-09-21,499,USD,Paid,Enterprise
319,72,104,2022-10-21,499,USD,Paid,Enterprise
320,72,104,2022-11-21,499,USD,Failed,Enterprise
321,72,104,2022-12-21,499,USD,Paid,Enterprise
322,72,104,2023-01-21,499,USD,Paid,Enterprise
323,72,104,2023-02-21,499,USD,Paid,Enterprise
324,72,104,2023-03-21,499,USD,Paid,Enterprise
325,73,106,2022-02-22,79,USD,Paid,Pro
326,73,106,2022-03-22,79,USD,Paid,Pro
327,73,106,2022-04-22,79,USD,Paid,Pro
328,73,106,2022-05-22,79,USD,Paid,Pro
329,73,106,2022-06-22,79,USD,Paid,Pro
330,73,106,2022-07-22,79,USD,Paid,Pro
331,73,106,2022-08-22,79,USD,Paid,Pro
332,73,106,2022-09-22,79,USD,Paid,Pro
333,73,106,2022-10-22,79,USD,Paid,Pro
334,73,106,2022-11-22,79,USD,Paid,Pro
335,73,106,2022-12-22,79,USD,Paid,Pro
336,73,106,2023-01-22,79,USD,Paid,Pro
337,73,106,2023-02-22,79,USD,Paid,Pro
338,73,106,2023-03-22,79,USD,Paid,Pro
339,73,106,2023-04-22,79,USD,Paid,Pro
340,73,106,2023-05-22,79,USD,Paid,Pro
341,73,106,2023-06-22,79,USD,Paid,Pro
342,73,106,2023-07-22,79,USD,Paid,Pro
343,73,107,2023-08-22,29,USD,Paid,Starter
344,73,107,2023-09-22,29,USD,Paid,Starter
345,76,111,2022-02-24,499,USD,Paid,Enterprise
346,76,111,2022-03-24,499,USD,Paid,Enterprise
347,76,111,2022-04-24,499,USD,Paid,Enterprise
348,76,111,2022-05-24,499,USD,Paid,Enterprise
349,76,111,2022-06-24,499,USD,Paid,Enterprise
350,76,111,2022-07-24,499,USD,Paid,Enterprise
351,76,111,2022-08-24,499,USD,Paid,Enterprise
352,76,111,2022-09-24,499,USD,Paid,Enterprise
353,76,111,2022-10-24,499,USD,Paid,Enterprise
354,76,111,2022-11-24,499,USD,Paid,Enterprise
355,76,111,2022-12-24,499,USD,Paid,Enterprise
356,76,111,2023-01-24,499,USD,Paid,Enterprise
357,76,111,2023-02-24,499,USD,Paid,Enterprise
358,76,111,2023-03-24,499,USD,Paid,Enterprise
359,76,111,2023-04-24,499,USD,Paid,Enterprise
360,76,111,2023-05-24,499,USD,Paid,Enterprise
361,76,111,2023-06-24,499,USD,Paid,Enterprise
362,76,111,2023-07-24,499,USD,Paid,Enterprise
363,76,111,2023-08-24,499,USD,Paid,Enterprise
364,76,111,2023-09-24,499,USD,Paid,Enterprise
365,76,111,2023-10-24,499,USD,Paid,Enterprise
366,76,111,2023-11-24,499,USD,Paid,Enterprise
367,76,111,2023-12-24,499,USD,Paid,Enterprise
368,76,111,2024-01-24,499,USD,Paid,Enterprise
369,76,111,2024-02-24,499,USD,Paid,Enterprise
370,76,111,2024-03-24,499,USD,Paid,Enterprise
371,76,111,2024-04-24,499,USD,Paid,Enterprise
372,76,111,2024-05-24,499,USD,Paid,Enterprise
373,76,111,2024-06-24,499,USD,Paid,Enterprise
374,76,111,2024-07-24,499,USD,Paid,Enterprise
375,76,111,2024-08-24,499,USD,Paid,Enterprise
376,76,111,2024-09-24,499,USD,Paid,Enterprise
377,76,111,2024-10-24,499,USD,Paid,Enterprise
378,76,112,2024-11-24,199,USD,Paid,Business
379,76,112,2024-12-24,199,USD,Paid,Business
380,79,116,2022-02-24,29,USD,Paid,Starter
381,79,116,2022-03-24,29,USD,Paid,Starter
382,79,116,2022-04-24,29,USD,Paid,Starter
383,81,119,2022-02-25,29,USD,Paid,Starter
384,81,119,2022-03-25,29,USD,Paid,Starter
385,82,121,2022-02-25,199,USD,Paid,Business
386,82,121,2022-03-25,199,USD,Paid,Business
387,82,121,2022-04-25,199,USD,Paid,Business
388,82,121,2022-05-25,199,USD,Paid,Business
389,82,121,2022-06-25,199,USD,Paid,Business
390,82,121,2022-07-25,199,USD,Paid,Business
391,82,121,2022-08-25,199,USD,Paid,Business
392,82,121,2022-09-25,199,USD,Paid,Business
393,82,121,2022-10-25,199,USD,Paid,Business
394,82,121,2022-11-25,199,USD,Paid,Business
395,82,121,2022-12-25,199,USD,Paid,Business
396,82,121,2023-01-25,199,USD,Paid,Business
397,82,121,2023-02-25,199,USD,Paid,Business
398,82,121,2023-03-25,199,USD,Paid,Business
399,82,121,2023-04-25,199,USD,Paid,Business
400,82,121,2023-05-25,199,USD,Paid,Business
401,82,121,2023-06-25,199,USD,Paid,Business
402,82,121,2023-07-25,199,USD,Paid,Business
403,82,121,2023-08-25,199,USD,Failed,Business
404,82,121,2023-09-25,199,USD,Paid,Business
405,82,121,2023-10-25,199,USD,Paid,Business
406,82,121,2023-11-25,199,USD,Paid,Business
407,82,121,2023-12-25,199,USD,Paid,Business
408,82,121,2024-01-25,199,USD,Paid,Business
409,82,121,2024-02-25,199,USD,Paid,Business
410,82,121,2024-03-25,199,USD,Paid,Business
411,82,121,2024-04-25,199,USD,Paid,Business
412,82,121,2024-05-25,199,USD,Paid,Business
413,82,121,2024-06-25,199,USD,Paid,Business
414,82,121,2024-07-25,199,USD,Paid,Business
415,82,121,2024-08-25,199,USD,Paid,Business
416,84,124,2022-02-25,79,USD,Paid,Pro
417,84,124,2022-03-25,79,USD,Paid,Pro
418,87,128,2022-02-25,499,USD,Paid,Enterprise
419,87,128,2022-03-25,499,USD,Paid,Enterprise
420,87,128,2022-04-25,499,USD,Paid,Enterprise
421,87,128,2022-05-25,499,USD,Paid,Enterprise
422,87,128,2022-06-25,499,USD,Paid,Enterprise
423,87,128,2022-07-25,499,USD,Paid,Enterprise
424,87,128,2022-08-25,499,USD,Paid,Enterprise
425,87,128,2022-09-25,499,USD,Paid,Enterprise
426,87,128,2022-10-25,499,USD,Paid,Enterprise
427,87,128,2022-11-25,499,USD,Paid,Enterprise
428,87,128,2022-12-25,499,USD,Paid,Enterprise
429,87,128,2023-01-25,499,USD,Paid,Enterprise
430,87,128,2023-02-25,499,USD,Paid,Enterprise
431,87,128,2023-03-25,499,USD,Paid,Enterprise
432,87,128,2023-04-25,499,USD,Paid,Enterprise
433,87,128,2023-05-25,499,USD,Failed,Enterprise
434,87,128,2023-06-25,499,USD,Paid,Enterprise
435,87,128,2023-07-25,499,USD,Paid,Enterprise
436,87,128,2023-08-25,499,USD,Paid,Enterprise
437,87,128,2023-09-25,499,USD,Paid,Enterprise
438,87,128,2023-10-25,499,USD,Paid,Enterprise
439,87,128,2023-11-25,499,USD,Paid,Enterprise
440,87,128,2023-12-25,499,USD,Paid,Enterprise
441,87,128,2024-01-25,499,USD,Paid,Enterprise
442,87,128,2024-02-25,499,USD,Paid,Enterprise
443,87,128,2024-03-25,499,USD,Paid,Enterprise
444,87,128,2024-04-25,499,USD,Paid,Enterprise
445,87,128,2024-05-25,499,USD,Paid,Enterprise
446,87,128,2024-06-25,499,USD,Paid,Enterprise
447,87,128,2024-07-25,499,USD,Paid,Enterprise
448,87,128,2024-08-25,499,USD,Paid,Enterprise
449,87,128,2024-09-25,499,USD,Paid,Enterprise
450,87,128,2024-10-25,499,USD,Paid,Enterprise
451,87,128,2024-11-25,499,USD,Paid,Enterprise
452,87,128,2024-12-25,499,USD,Paid,Enterprise
453,98,140,2022-03-01,29,USD,Failed,Starter
454,98,140,2022-04-01,29,USD,Paid,Starter
455,98,140,2022-05-01,29,USD,Paid,Starter
456,98,140,2022-06-01,29,USD,Paid,Starter
457,103,146,2022-03-03,79,USD,Paid,Pro
458,103,146,2022-04-03,79,USD,Paid,Pro
459,103,146,2022-05-03,79,USD,Paid,Pro
460,103,146,2022-06-03,79,USD,Paid,Pro
461,103,146,2022-07-03,79,USD,Failed,Pro
462,103,146,2022-08-03,79,USD,Paid,Pro
463,103,146,2022-09-03,79,USD,Paid,Pro
464,103,146,2022-10-03,79,USD,Paid,Pro
465,103,146,2022-11-03,79,USD,Paid,Pro
466,103,146,2022-12-03,79,USD,Paid,Pro
467,103,146,2023-01-03,79,USD,Paid,Pro
468,103,146,2023-02-03,79,USD,Paid,Pro
469,103,146,2023-03-03,79,USD,Paid,Pro
470,103,146,2023-04-03,79,USD,Paid,Pro
471,103,146,2023-05-03,79,USD,Paid,Pro
472,103,146,2023-06-03,79,USD,Paid,Pro
473,103,146,2023-07-03,79,USD,Paid,Pro
474,104,148,2022-03-04,29,USD,Failed,Starter
475,104,148,2022-04-04,29,USD,Paid,Starter
476,104,148,2022-05-04,29,USD,Paid,Starter
477,104,148,2022-06-04,29,USD,Paid,Starter
478,104,148,2022-07-04,29,USD,Paid,Starter
479,104,148,2022-08-04,29,USD,Paid,Starter
480,104,149,2022-09-04,79,USD,Paid,Pro
481,104,149,2022-10-04,79,USD,Paid,Pro
482,104,149,2022-11-04,79,USD,Paid,Pro
483,104,150,2022-12-04,199,USD,Paid,Business
484,104,150,2023-01-04,199,USD,Paid,Business
485,104,150,2023-02-04,199,USD,Paid,Business
486,104,150,2023-03-04,199,USD,Paid,Business
487,104,150,2023-04-04,199,USD,Paid,Business
488,104,150,2023-05-04,199,USD,Paid,Business
489,104,150,2023-06-04,199,USD,Paid,Business
490,104,150,2023-07-04,199,USD,Paid,Business
491,104,150,2023-08-04,199,USD,Failed,Business
492,104,150,2023-09-04,199,USD,Paid,Business
493,104,150,2023-10-04,199,USD,Paid,Business
494,104,150,2023-11-04,199,USD,Paid,Business
495,104,150,2023-12-04,199,USD,Paid,Business
496,104,150,2024-01-04,199,USD,Paid,Business
497,104,150,2024-02-04,199,USD,Paid,Business
498,104,150,2024-03-04,199,USD,Paid,Business
499,104,150,2024-04-04,199,USD,Paid,Business
500,104,150,2024-05-04,199,USD,Paid,Business
501,104,150,2024-06-04,199,USD,Paid,Business
502,104,150,2024-07-04,199,USD,Paid,Business
503,104,150,2024-08-04,199,USD,Paid,Business
504,104,150,2024-09-04,199,USD,Paid,Business
505,104,150,2024-10-04,199,USD,Paid,Business
506,104,150,2024-11-04,199,USD,Paid,Business
507,104,150,2024-12-04,199,USD,Paid,Business
508,107,154,2022-03-06,79,USD,Paid,Pro
509,107,154,2022-04-06,79,USD,Paid,Pro
510,107,154,2022-05-06,79,USD,Paid,Pro
511,107,154,2022-06-06,79,USD,Paid,Pro
512,107,155,2022-07-06,199,USD,Paid,Business
513,107,155,2022-08-06,199,USD,Paid,Business
514,107,156,2022-09-06,499,USD,Paid,Enterprise
515,107,156,2022-10-06,499,USD,Paid,Enterprise
516,107,156,2022-11-06,499,USD,Paid,Enterprise
517,107,156,2022-12-06,499,USD,Paid,Enterprise
518,107,156,2023-01-06,499,USD,Paid,Enterprise
519,107,156,2023-02-06,499,USD,Paid,Enterprise
520,107,156,2023-03-06,499,USD,Paid,Enterprise
521,107,157,2023-04-06,199,USD,Paid,Business
522,107,157,2023-05-06,199,USD,Paid,Business
523,107,157,2023-06-06,199,USD,Paid,Business
524,107,157,2023-07-06,199,USD,Paid,Business
525,107,157,2023-08-06,199,USD,Paid,Business
526,107,157,2023-09-06,199,USD,Paid,Business
527,107,157,2023-10-06,199,USD,Paid,Business
528,107,157,2023-11-06,199,USD,Paid,Business
529,107,157,2023-12-06,199,USD,Paid,Business
530,107,157,2024-01-06,199,USD,Paid,Business
531,107,157,2024-02-06,199,USD,Paid,Business
532,107,157,2024-03-06,199,USD,Paid,Business
