subscription_id,customer_id,plan,monthly_price,status,start_date,end_date,is_trial,mrr_movement
32,21,Starter,0,Cancelled,2022-01-07,2022-01-21,True,Trial
33,22,Enterprise,0,Active,2022-01-08,,True,Trial
34,22,Enterprise,499,Downgraded,2022-02-22,2022-03-22,False,Contraction MRR
35,22,Business,199,Downgraded,2022-10-22,2022-11-22,False,Contraction MRR
36,22,Pro,79,Cancelled,2024-08-22,2024-09-22,False,Churned MRR
37,23,Starter,0,Cancelled,2022-01-10,2022-01-24,True,Trial
38,24,Starter,0,Cancelled,2022-01-11,2022-01-25,True,Trial
39,25,Pro,0,Active,2022-01-13,,True,Trial
40,25,Pro,79,Cancelled,2022-02-27,2022-03-27,False,Churned MRR
41,26,Enterprise,0,Cancelled,2022-01-14,2022-01-28,True,Trial
42,27,Starter,0,Cancelled,2022-01-15,2022-01-29,True,Trial
43,28,Starter,0,Cancelled,2022-01-15,2022-01-29,True,Trial
44,29,Pro,0,Cancelled,2022-01-17,2022-01-31,True,Trial
45,30,Pro,0,Cancelled,2022-01-18,2022-02-01,True,Trial
46,31,Starter,0,Cancelled,2022-01-18,2022-02-01,True,Trial
47,32,Starter,0,Cancelled,2022-01-18,2022-02-01,True,Trial
48,33,Starter,0,Cancelled,2022-01-18,2022-02-01,True,Trial
49,34,Starter,0,Cancelled,2022-01-20,2022-02-03,True,Trial
50,35,Enterprise,0,Cancelled,2022-01-20,2022-02-03,True,Trial
51,36,Pro,0,Active,2022-01-20,,True,Trial
52,36,Pro,79,Cancelled,2022-06-03,2022-07-03,False,Churned MRR
53,37,Pro,0,Cancelled,2022-01-22,2022-02-05,True,Trial
54,38,Pro,0,Cancelled,2022-01-23,2022-02-06,True,Trial
55,39,Enterprise,0,Cancelled,2022-01-23,2022-02-06,True,Trial
56,40,Enterprise,0,Active,2022-01-24,,True,Trial
57,40,Enterprise,499,Active,2024-12-07,,False,Recurring
58,41,Business,0,Active,2022-01-24,,True,Trial
59,41,Business,199,Cancelled,2022-04-07,2022-05-07,False,Churned MRR
60,42,Pro,0,Cancelled,2022-01-25,2022-02-08,True,Trial
61,43,Starter,0,Cancelled,2022-01-25,2022-02-08,True,Trial
62,44,Business,0,Active,2022-01-25,,True,Trial
63,44,Business,199,Upgraded,2022-04-08,2022-05-08,False,Expansion MRR
64,44,Enterprise,499,Downgraded,2022-08-08,2022-09-08,False,Contraction MRR
65,44,Business,199,Cancelled,2023-07-08,2023-08-08,False,Churned MRR
66,45,Starter,0,Active,2022-01-26,,True,Trial
67,45,Starter,29,Cancelled,2022-02-09,2022-03-09,False,Churned MRR
68,46,Business,0,Cancelled,2022-01-26,2022-02-09,True,Trial
69,47,Starter,0,Cancelled,2022-01-26,2022-02-09,True,Trial
70,48,Enterprise,0,Cancelled,2022-01-27,2022-02-10,True,Trial
71,49,Business,0,Active,2022-01-27,,True,Trial
72,49,Business,199,Cancelled,2022-08-10,2022-09-10,False,Churned MRR
73,50,Pro,0,Cancelled,2022-01-27,2022-02-10,True,Trial
74,51,Enterprise,0,Cancelled,2022-01-28,2022-02-11,True,Trial
75,52,Pro,0,Cancelled,2022-01-29,2022-02-12,True,Trial
76,53,Enterprise,0,Cancelled,2022-01-29,2022-02-12,True,Trial
77,54,Starter,0,Cancelled,2022-01-29,2022-02-12,True,Trial
78,55,Pro,0,Cancelled,2022-01-30,2022-02-13,True,Trial
79,56,Starter,0,Cancelled,2022-01-31,2022-02-14,True,Trial
80,57,Pro,0,Active,2022-02-01,,True,Trial
81,57,Pro,79,Downgraded,2022-04-15,2022-05-15,False,Contraction MRR
82,57,Starter,29,Cancelled,2023-11-15,2023-12-15,False,Churned MRR
83,58,Pro,0,Cancelled,2022-02-01,2022-02-15,True,Trial
84,59,Starter,0,Cancelled,2022-02-01,2022-02-15,True,Trial
85,60,Pro,0,Cancelled,2022-02-02,2022-02-16,True,Trial
86,61,Starter,0,Cancelled,2022-02-02,2022-02-16,True,Trial
87,62,Pro,0,Active,2022-02-03,,True,Trial
88,62,Pro,79,Cancelled,2022-11-17,2022-12-17,False,Churned MRR
89,63,Business,0,Active,2022-02-03,,True,Trial
90,63,Business,199,Downgraded,2022-03-17,2022-04-17,False,Contraction MRR
91,63,Pro,79,Cancelled,2023-01-17,2023-02-17,False,Churned MRR
92,64,Business,0,Active,2022-02-03,,True,Trial
93,64,Business,199,Cancelled,2023-10-17,2023-11-17,False,Churned MRR
94,65,Pro,0,Cancelled,2022-02-04,2022-02-18,True,Trial
95,66,Starter,0,Cancelled,2022-02-04,2022-02-18,True,Trial
96,67,Starter,0,Cancelled,2022-02-05,2022-02-19,True,Trial
97,68,Starter,0,Cancelled,2022-02-06,2022-02-20,True,Trial
98,69,Starter,0,Cancelled,2022-02-07,2022-02-21,True,Trial
99,70,Enterprise,0,Active,2022-02-07,,True,Trial
100,70,Enterprise,499,Cancelled,2022-03-21,2022-04-21,False,Churned MRR
101,71,Enterprise,0,Cancelled,2022-02-07,2022-02-21,True,Trial
102,72,Business,0,Active,2022-02-07,,True,Trial
103,72,Business,199,Upgraded,2022-06-21,2022-07-21,False,Expansion MRR
104,72,Enterprise,499,Cancelled,2023-03-21,2023-04-21,False,Churned MRR
105,73,Pro,0,Active,2022-02-08,,True,Trial
106,73,Pro,79,Downgraded,2023-07-22,2023-08-22,False,Contraction MRR
107,73,Starter,29,Cancelled,2023-09-22,2023-10-22,False,Churned MRR
108,74,Pro,0,Cancelled,2022-02-08,2022-02-22,True,Trial
109,75,Starter,0,Cancelled,2022-02-09,2022-02-23,True,Trial
110,76,Enterprise,0,Active,2022-02-10,,True,Trial
111,76,Enterprise,499,Downgraded,2024-10-24,2024-11-24,False,Contraction MRR
112,76,Business,199,Active,2024-12-24,,False,Recurring
113,77,Pro,0,Cancelled,2022-02-10,2022-02-24,True,Trial
114,78,Starter,0,Cancelled,2022-02-10,2022-02-24,True,Trial
115,79,Starter,0,Active,2022-02-10,,True,Trial
116,79,Starter,29,Cancelled,2022-04-24,2022-05-24,False,Churned MRR
117,80,Enterprise,0,Cancelled,2022-02-10,2022-02-24,True,Trial
118,81,Starter,0,Active,2022-02-11,,True,Trial
119,81,Starter,29,Cancelled,2022-03-25,2022-04-25,False,Churned MRR
120,82,Business,0,Active,2022-02-11,,True,Trial
121,82,Business,199,Cancelled,2024-08-25,2024-09-25,False,Churned MRR
122,83,Enterprise,0,Cancelled,2022-02-11,2022-02-25,True,Trial
123,84,Pro,0,Active,2022-02-11,,True,Trial
124,84,Pro,79,Cancelled,2022-03-25,2022-04-25,False,Churned MRR
125,85,Business,0,Cancelled,2022-02-11,2022-02-25,True,Trial
126,86,Enterprise,0,Cancelled,2022-02-11,2022-02-25,True,Trial
127,87,Enterprise,0,Active,2022-02-11,,True,Trial
128,87,Enterprise,499,Active,2024-12-25,,False,Recurring
129,88,Business,0,Cancelled,2022-02-12,2022-02-26,True,Trial
130,89,Pro,0,Cancelled,2022-02-13,2022-02-27,True,Trial
131,90,Starter,0,Cancelled,2022-02-13,2022-02-27,True,Trial
132,91,Starter,0,Cancelled,2022-02-13,2022-02-27,True,Trial
133,92,Starter,0,Cancelled,2022-02-14,2022-02-28,True,Trial
134,93,Enterprise,0,Cancelled,2022-02-14,2022-02-28,True,Trial
135,94,Starter,0,Cancelled,2022-02-14,2022-02-28,True,Trial
136,95,Business,0,Cancelled,2022-02-14,2022-02-28,True,Trial
137,96,Pro,0,Cancelled,2022-02-14,2022-02-28,True,Trial
138,97,Pro,0,Cancelled,2022-02-15,2022-03-01,True,Trial
139,98,Starter,0,Active,2022-02-15,,True,Trial
140,98,Starter,29,Cancelled,2022-06-01,2022-07-01,False,Churned MRR
141,99,Enterprise,0,Cancelled,2022-02-16,2022-03-02,True,Trial
142,100,Starter,0,Cancelled,2022-02-17,2022-03-03,True,Trial
143,101,Enterprise,0,Cancelled,2022-02-17,2022-03-03,True,Trial
144,102,Pro,0,Cancelled,2022-02-17,2022-03-03,True,Trial
145,103,Pro,0,Active,2022-02-17,,True,Trial
146,103,Pro,79,Cancelled,2023-07-03,2023-08-03,False,Churned MRR
147,104,Starter,0,Active,2022-02-18,,True,Trial
148,104,Starter,29,Upgraded,2022-08-04,2022-09-04,False,Expansion MRR
149,104,Pro,79,Upgraded,2022-11-04,2022-12-04,False,Expansion MRR
150,104,Business,199,Active,2024-12-04,,False,Recurring
151,105,Starter,0,Cancelled,2022-02-18,2022-03-04,True,Trial
152,106,Pro,0,Cancelled,2022-02-19,2022-03-05,True,Trial
153,107,Pro,0,Active,2022-02-20,,True,Trial
154,107,Pro,79,Upgraded,2022-06-06,2022-07-06,False,Expansion MRR
155,107,Business,199,Upgraded,2022-08-06,2022-09-06,False,Expansion MRR
156,107,Enterprise,499,Downgraded,2023-03-06,2023-04-06,False,Contraction MRR
157,107,Business,199,Upgraded,2024-12-06,2025-01-06,False,Expansion MRR
158,108,Starter,0,Cancelled,2022-02-20,2022-03-06,True,Trial
159,109,Starter,0,Cancelled,2022-02-20,2022-03-06,True,Trial
160,110,Business,0,Active,2022-02-20,,True,Trial
161,110,Business,199,Downgraded,2024-04-06,2024-05-06,False,Contraction MRR
162,110,Pro,79,Active,2024-12-06,,False,Recurring
163,111,Starter,0,Cancelled,2022-02-21,2022-03-07,True,Trial
164,112,Enterprise,0,Active,2022-02-21,,True,Trial
165,112,Enterprise,499,Downgraded,2024-06-07,2024-07-07,False,Contraction MRR
166,112,Business,199,Active,2024-12-07,,False,Recurring
167,113,Business,0,Cancelled,2022-02-21,2022-03-07,True,Trial
168,114,Enterprise,0,Cancelled,2022-02-21,2022-03-07,True,Trial
169,115,Business,0,Active,2022-02-22,,True,Trial
170,115,Business,199,Upgraded,2023-05-08,2023-06-08,False,Expansion MRR
171,115,Enterprise,499,Active,2024-12-08,,False,Recurring
172,116,Pro,0,Active,2022-02-22,,True,Trial
173,116,Pro,79,Active,2024-12-08,,False,Recurring
174,117,Pro,0,Cancelled,2022-02-23,2022-03-09,True,Trial
175,118,Pro,0,Active,2022-02-23,,True,Trial
176,118,Pro,79,Upgraded,2022-10-09,2022-11-09,False,Expansion MRR
177,118,Business,199,Cancelled,2023-02-09,2023-03-09,False,Churned MRR
178,119,Starter,0,Cancelled,2022-02-23,2022-03-09,True,Trial
179,120,Pro,0,Cancelled,2022-02-23,2022-03-09,True,Trial
180,121,Starter,0,Cancelled,2022-02-23,2022-03-09,True,Trial
181,122,Enterprise,0,Cancelled,2022-02-23,2022-03-09,True,Trial
182,123,Starter,0,Active,2022-02-23,,True,Trial
183,123,Starter,29,Cancelled,2022-06-09,2022-07-09,False,Churned MRR
184,124,Starter,0,Cancelled,2022-02-24,2022-03-10,True,Trial
185,125,Starter,0,Cancelled,2022-02-25,2022-03-11,True,Trial
186,126,Enterprise,0,Active,2022-02-25,,True,Trial
187,126,Enterprise,499,Downgraded,2022-08-11,2022-09-11,False,Contraction MRR
188,126,Business,199,Active,2024-12-11,,False,Recurring
189,127,Enterprise,0,Cancelled,2022-02-25,2022-03-11,True,Trial
190,128,Pro,0,Active,2022-02-26,,True,Trial
191,128,Pro,79,Cancelled,2023-05-12,2023-06-12,False,Churned MRR
192,129,Business,0,Cancelled,2022-02-26,2022-03-12,True,Trial
193,130,Enterprise,0,Active,2022-02-26,,True,Trial
194,130,Enterprise,499,Downgraded,2024-03-12,2024-04-12,False,Contraction MRR
195,130,Business,199,Active,2024-12-12,,False,Recurring
196,131,Starter,0,Cancelled,2022-02-26,2022-03-12,True,Trial
197,132,Starter,0,Active,2022-02-27,,True,Trial
198,132,Starter,29,Cancelled,2022-03-13,2022-04-13,False,Churned MRR
199,133,Pro,0,Cancelled,2022-02-27,2022-03-13,True,Trial
200,134,Starter,0,Active,2022-02-28,,True,Trial
201,134,Starter,29,Cancelled,2022-05-14,2022-06-14,False,Churned MRR
202,134,Starter,29,Active,2023-01-14,,False,Reactivation MRR
203,135,Starter,0,Cancelled,2022-03-01,2022-03-15,True,Trial
204,136,Enterprise,0,Active,2022-03-01,,True,Trial
205,136,Enterprise,499,Cancelled,2022-10-15,2022-11-15,False,Churned MRR
206,137,Starter,0,Cancelled,2022-03-01,2022-03-15,True,Trial
207,138,Starter,0,Cancelled,2022-03-02,2022-03-16,True,Trial
208,139,Starter,0,Active,2022-03-02,,True,Trial
209,139,Starter,29,Upgraded,2024-08-16,2024-09-16,False,Expansion MRR
210,139,Pro,79,Active,2024-12-16,,False,Recurring
211,140,Starter,0,Cancelled,2022-03-03,2022-03-17,True,Trial
212,141,Pro,0,Cancelled,2022-03-03,2022-03-17,True,Trial
213,142,Starter,0,Active,2022-03-04,,True,Trial
214,142,Starter,29,Cancelled,2023-02-18,2023-03-18,False,Churned MRR
215,143,Pro,0,Active,2022-03-04,,True,Trial
216,143,Pro,79,Upgraded,2022-11-18,2022-12-18,False,Expansion MRR
217,143,Business,199,Downgraded,2023-02-18,2023-03-18,False,Contraction MRR
218,143,Pro,79,Active,2024-12-18,,False,Recurring
219,144,Enterprise,0,Cancelled,2022-03-04,2022-03-18,True,Trial
220,145,Pro,0,Cancelled,2022-03-05,2022-03-19,True,Trial
221,146,Starter,0,Cancelled,2022-03-05,2022-03-19,True,Trial
222,147,Business,0,Cancelled,2022-03-06,2022-03-20,True,Trial
223,148,Pro,0,Cancelled,2022-03-06,2022-03-20,True,Trial
224,149,Starter,0,Cancelled,2022-03-06,2022-03-20,True,Trial
225,150,Pro,0,Cancelled,2022-03-07,2022-03-21,True,Trial
226,151,Enterprise,0,Active,2022-03-07,,True,Trial
227,151,Enterprise,499,Cancelled,2022-08-21,2022-09-21,False,Churned MRR
228,152,Starter,0,Cancelled,2022-03-08,2022-03-22,True,Trial
229,153,Enterprise,0,Cancelled,2022-03-08,2022-03-22,True,Trial
230,154,Pro,0,Cancelled,2022-03-08,2022-03-22,True,Trial
231,155,Enterprise,0,Active,2022-03-09,,True,Trial
232,155,Enterprise,499,Active,2024-12-23,,False,Recurring
233,156,Enterprise,0,Cancelled,2022-03-10,2022-03-24,True,Trial
234,157,Enterprise,0,Active,2022-03-11,,True,Trial
235,157,Enterprise,499,Active,2024-12-25,,False,Recurring
236,158,Business,0,Cancelled,2022-03-11,2022-03-25,True,Trial
237,159,Pro,0,Active,2022-03-11,,True,Trial
238,159,Pro,79,Downgraded,2022-03-25,2022-04-25,False,Contraction MRR
239,159,Starter,29,Cancelled,2023-02-25,2023-03-25,False,Churned MRR
240,160,Business,0,Cancelled,2022-03-12,2022-03-26,True,Trial
241,161,Business,0,Active,2022-03-13,,True,Trial
242,161,Business,199,Active,2024-12-27,,False,Recurring
243,162,Pro,0,Cancelled,2022-03-13,2022-03-27,True,Trial
244,163,Starter,0,Active,2022-03-13,,True,Trial
245,163,Starter,29,Cancelled,2022-08-27,2022-09-27,False,Churned MRR
246,164,Pro,0,Cancelled,2022-03-14,2022-03-28,True,Trial
247,165,Pro,0,Cancelled,2022-03-14,2022-03-28,True,Trial
248,166,Enterprise,0,Cancelled,2022-03-14,2022-03-28,True,Trial
249,167,Starter,0,Cancelled,2022-03-16,2022-03-30,True,Trial
250,168,Starter,0,Cancelled,2022-03-17,2022-03-31,True,Trial
251,169,Starter,0,Cancelled,2022-03-18,2022-04-01,True,Trial
252,170,Business,0,Active,2022-03-18,,True,Trial
253,170,Business,199,Active,2024-12-01,,False,Recurring
254,171,Starter,0,Cancelled,2022-03-18,2022-04-01,True,Trial
255,172,Business,0,Cancelled,2022-03-19,2022-04-02,True,Trial
256,173,Starter,0,Cancelled,2022-03-19,2022-04-02,True,Trial
257,174,Pro,0,Cancelled,2022-03-19,2022-04-02,True,Trial
258,175,Enterprise,0,Active,2022-03-19,,True,Trial
259,175,Enterprise,499,Active,2024-12-02,,False,Recurring
260,176,Business,0,Active,2022-03-19,,True,Trial
261,176,Business,199,Cancelled,2022-04-02,2022-05-02,False,Churned MRR
262,177,Pro,0,Cancelled,2022-03-19,2022-04-02,True,Trial
263,178,Starter,0,Cancelled,2022-03-19,2022-04-02,True,Trial
264,179,Enterprise,0,Cancelled,2022-03-20,2022-04-03,True,Trial
265,180,Starter,0,Cancelled,2022-03-20,2022-04-03,True,Trial
266,181,Starter,0,Active,2022-03-20,,True,Trial
267,181,Starter,29,Cancelled,2022-11-03,2022-12-03,False,Churned MRR
268,182,Starter,0,Cancelled,2022-03-20,2022-04-03,True,Trial
269,183,Starter,0,Active,2022-03-22,,True,Trial
270,183,Starter,29,Cancelled,2022-06-05,2022-07-05,False,Churned MRR
271,184,Pro,0,Cancelled,2022-03-23,2022-04-06,True,Trial
272,185,Pro,0,Cancelled,2022-03-23,2022-04-06,True,Trial
273,186,Pro,0,Cancelled,2022-03-23,2022-04-06,True,Trial
274,187,Business,0,Cancelled,2022-03-23,2022-04-06,True,Trial
275,188,Enterprise,0,Active,2022-03-23,,True,Trial
276,188,Enterprise,499,Downgraded,2022-11-06,2022-12-06,False,Contraction MRR
277,188,Business,199,Active,2024-12-06,,False,Recurring
278,189,Starter,0,Active,2022-03-23,,True,Trial
279,189,Starter,29,Cancelled,2022-07-06,2022-08-06,False,Churned MRR
280,190,Starter,0,Cancelled,2022-03-23,2022-04-06,True,Trial
281,191,Enterprise,0,Cancelled,2022-03-24,2022-04-07,True,Trial
282,192,Enterprise,0,Cancelled,2022-03-24,2022-04-07,True,Trial
283,193,Enterprise,0,Cancelled,2022-03-25,2022-04-08,True,Trial
284,194,Enterprise,0,Active,2022-03-25,,True,Trial
285,194,Enterprise,499,Downgraded,2023-02-08,2023-03-08,False,Contraction MRR
286,194,Business,199,Cancelled,2023-12-08,2024-01-08,False,Churned MRR
287,195,Pro,0,Cancelled,2022-03-25,2022-04-08,True,Trial
288,196,Pro,0,Cancelled,2022-03-25,2022-04-08,True,Trial
289,197,Starter,0,Cancelled,2022-03-26,2022-04-09,True,Trial
290,198,Business,0,Cancelled,2022-03-26,2022-04-09,True,Trial
291,199,Business,0,Cancelled,2022-03-26,2022-04-09,True,Trial
292,200,Starter,0,Cancelled,2022-03-27,2022-04-10,True,Trial
293,201,Starter,0,Cancelled,2022-03-27,2022-04-10,True,Trial
294,202,Starter,0,Cancelled,2022-03-27,2022-04-10,True,Trial
295,203,Business,0,Cancelled,2022-03-28,2022-04-11,True,Trial
296,204,Enterprise,0,Active,2022-03-28,,True,Trial
297,204,Enterprise,499,Downgraded,2023-08-11,2023-09-11,False,Contraction MRR
298,204,Business,199,Cancelled,2024-10-11,2024-11-11,False,Churned MRR
299,205,Pro,0,Cancelled,2022-03-30,2022-04-13,True,Trial
300,206,Starter,0,Cancelled,2022-03-30,2022-04-13,True,Trial
301,207,Starter,0,Cancelled,2022-03-30,2022-04-13,True,Trial
302,208,Starter,0,Cancelled,2022-03-30,2022-04-13,True,Trial
303,209,Starter,0,Cancelled,2022-03-30,2022-04-13,True,Trial
304,210,Pro,0,Cancelled,2022-03-31,2022-04-14,True,Trial
305,211,Starter,0,Cancelled,2022-03-31,2022-04-14,True,Trial
306,212,Pro,0,Cancelled,2022-04-01,2022-04-15,True,Trial
307,213,Enterprise,0,Cancelled,2022-04-02,2022-04-16,True,Trial
308,214,Pro,0,Active,2022-04-02,,True,Trial
309,214,Pro,79,Upgraded,2023-07-16,2023-08-16,False,Expansion MRR
310,214,Business,199,Cancelled,2024-05-16,2024-06-16,False,Churned MRR
311,215,Enterprise,0,Cancelled,2022-04-02,2022-04-16,True,Trial
312,216,Starter,0,Cancelled,2022-04-03,2022-04-17,True,Trial
313,217,Starter,0,Cancelled,2022-04-03,2022-04-17,True,Trial
314,218,Starter,0,Cancelled,2022-04-03,2022-04-17,True,Trial
315,219,Pro,0,Active,2022-04-03,,True,Trial
316,219,Pro,79,Downgraded,2022-04-17,2022-05-17,False,Contraction MRR
317,219,Starter,29,Cancelled,2023-03-17,2023-04-17,False,Churned MRR
318,219,Starter,29,Active,2023-08-17,,False,Reactivation MRR
319,220,Enterprise,0,Cancelled,2022-04-03,2022-04-17,True,Trial
320,221,Pro,0,Cancelled,2022-04-04,2022-04-18,True,Trial
321,222,Starter,0,Cancelled,2022-04-04,2022-04-18,True,Trial
322,223,Business,0,Cancelled,2022-04-05,2022-04-19,True,Trial
323,224,Business,0,Active,2022-04-05,,True,Trial
324,224,Business,199,Cancelled,2022-07-19,2022-08-19,False,Churned MRR
325,225,Starter,0,Cancelled,2022-04-05,2022-04-19,True,Trial
326,226,Pro,0,Cancelled,2022-04-05,2022-04-19,True,Trial
327,227,Pro,0,Cancelled,2022-04-05,2022-04-19,True,Trial
328,228,Starter,0,Cancelled,2022-04-07,2022-04-21,True,Trial
329,229,Starter,0,Active,2022-04-07,,True,Trial
330,229,Starter,29,Cancelled,2022-11-21,2022-12-21,False,Churned MRR
331,230,Business,0,Cancelled,2022-04-08,2022-04-22,True,Trial
332,231,Enterprise,0,Cancelled,2022-04-08,2022-04-22,True,Trial
333,232,Starter,0,Active,2022-04-08,,True,Trial
334,232,Starter,29,Cancelled,2022-09-22,2022-10-22,False,Churned MRR
335,233,Starter,0,Cancelled,2022-04-08,2022-04-22,True,Trial
336,234,Pro,0,Cancelled,2022-04-09,2022-04-23,True,Trial
337,235,Pro,0,Cancelled,2022-04-09,2022-04-23,True,Trial
338,236,Business,0,Cancelled,2022-04-09,2022-04-23,True,Trial
339,237,Starter,0,Active,2022-04-09,,True,Trial
340,237,Starter,29,Cancelled,2022-05-23,2022-06-23,False,Churned MRR
341,238,Enterprise,0,Cancelled,2022-04-10,2022-04-24,True,Trial
342,239,Business,0,Active,2022-04-10,,True,Trial
343,239,Business,199,Upgraded,2022-06-24,2022-07-24,False,Expansion MRR
344,239,Enterprise,499,Cancelled,2022-08-24,2022-09-24,False,Churned MRR
345,240,Starter,0,Cancelled,2022-04-10,2022-04-24,True,Trial
346,241,Business,0,Active,2022-04-10,,True,Trial
347,241,Business,199,Cancelled,2022-12-24,2023-01-24,False,Churned MRR
348,242,Starter,0,Cancelled,2022-04-11,2022-04-25,True,Trial
349,243,Pro,0,Cancelled,2022-04-11,2022-04-25,True,Trial
350,244,Starter,0,Cancelled,2022-04-12,2022-04-26,True,Trial
351,245,Starter,0,Cancelled,2022-04-12,2022-04-26,True,Trial
352,246,Pro,0,Cancelled,2022-04-12,2022-04-26,True,Trial
353,247,Starter,0,Cancelled,2022-04-12,2022-04-26,True,Trial
354,248,Enterprise,0,Active,2022-04-13,,True,Trial
355,248,Enterprise,499,Cancelled,2024-02-27,2024-03-27,False,Churned MRR
356,249,Starter,0,Cancelled,2022-04-13,2022-04-27,True,Trial
357,250,Business,0,Cancelled,2022-04-13,2022-04-27,True,Trial
358,251,Starter,0,Cancelled,2022-04-14,2022-04-28,True,Trial
359,252,Starter,0,Active,2022-04-15,,True,Trial
360,252,Starter,29,Active,2024-12-28,,False,Recurring
361,253,Pro,0,Cancelled,2022-04-15,2022-04-29,True,Trial
362,254,Pro,0,Cancelled,2022-04-15,2022-04-29,True,Trial
363,255,Business,0,Cancelled,2022-04-15,2022-04-29,True,Trial
364,256,Starter,0,Cancelled,2022-04-15,2022-04-29,True,Trial
365,257,Pro,0,Cancelled,2022-04-15,2022-04-29,True,Trial
366,258,Business,0,Active,2022-04-16,,True,Trial
367,258,Business,199,Upgraded,2023-02-28,2023-03-28,False,Expansion MRR
368,258,Enterprise,499,Active,2024-12-28,,False,Recurring
369,259,Starter,0,Cancelled,2022-04-16,2022-04-30,True,Trial
370,260,Pro,0,Cancelled,2022-04-16,2022-04-30,True,Trial
371,261,Pro,0,Active,2022-04-17,,True,Trial
372,261,Pro,79,Cancelled,2022-12-01,2023-01-01,False,Churned MRR
373,262,Starter,0,Cancelled,2022-04-17,2022-05-01,True,Trial
374,263,Enterprise,0,Cancelled,2022-04-17,2022-05-01,True,Trial
375,264,Starter,0,Cancelled,2022-04-17,2022-05-01,True,Trial
376,265,Starter,0,Cancelled,2022-04-18,2022-05-02,True,Trial
377,266,Pro,0,Cancelled,2022-04-19,2022-05-03,True,Trial
378,267,Starter,0,Cancelled,2022-04-19,2022-05-03,True,Trial
379,268,Starter,0,Active,2022-04-19,,True,Trial
380,268,Starter,29,Upgraded,2023-09-03,2023-10-03,False,Expansion MRR
381,268,Pro,79,Upgraded,2023-10-03,2023-11-03,False,Expansion MRR
382,268,Business,199,Upgraded,2023-11-03,2023-12-03,False,Expansion MRR
383,268,Enterprise,499,Cancelled,2024-08-03,2024-09-03,False,Churned MRR
384,269,Pro,0,Cancelled,2022-04-20,2022-05-04,True,Trial
385,270,Pro,0,Cancelled,2022-04-20,2022-05-04,True,Trial
386,271,Starter,0,Cancelled,2022-04-22,2022-05-06,True,Trial
387,272,Enterprise,0,Active,2022-04-22,,True,Trial
388,272,Enterprise,499,Cancelled,2022-11-06,2022-12-06,False,Churned MRR
389,273,Starter,0,Cancelled,2022-04-22,2022-05-06,True,Trial
390,274,Enterprise,0,Active,2022-04-23,,True,Trial
391,274,Enterprise,499,Downgraded,2023-10-07,2023-11-07,False,Contraction MRR
392,274,Business,199,Active,2024-12-07,,False,Recurring
393,275,Starter,0,Cancelled,2022-04-24,2022-05-08,True,Trial
394,276,Pro,0,Cancelled,2022-04-24,2022-05-08,True,Trial
395,277,Pro,0,Cancelled,2022-04-25,2022-05-09,True,Trial
396,278,Starter,0,Active,2022-04-25,,True,Trial
397,278,Starter,29,Cancelled,2022-08-09,2022-09-09,False,Churned MRR
398,279,Starter,0,Cancelled,2022-04-26,2022-05-10,True,Trial
399,280,Business,0,Cancelled,2022-04-27,2022-05-11,True,Trial
400,281,Enterprise,0,Active,2022-04-28,,True,Trial
