ticket_id,customer_id,plan,created_date,closed_date,category,priority,resolution_hrs,csat_score,pre_churn_flag
53,25,Pro,2022-03-17,2022-03-18,Integration,Low,25,2,1
54,25,Pro,2022-03-11,2022-03-12,Integration,Medium,26,3,1
55,36,Pro,2022-06-28,2022-06-28,Performance,High,10,3,1
56,40,Enterprise,2024-12-20,2024-12-22,Billing,Low,54,5,0
57,40,Enterprise,2024-12-26,2024-12-28,Onboarding,Low,66,4,0
58,40,Enterprise,2024-12-28,2024-12-29,Integration,Medium,40,5,0
59,41,Business,2022-04-16,2022-04-17,Feature Request,Medium,46,3,1
60,41,Business,2022-04-22,2022-04-23,Performance,Medium,32,2,1
61,44,Business,2022-05-03,2022-05-03,Feature Request,High,23,3,0
62,44,Business,2022-04-11,2022-04-11,Technical,High,23,4,0
63,44,Business,2022-04-17,2022-04-17,Integration,Medium,11,4,0
64,44,Business,2022-04-11,2022-04-11,Technical,High,21,3,0
65,44,Enterprise,2022-08-25,2022-08-25,Technical,High,7,5,0
66,44,Enterprise,2022-08-27,2022-08-27,Onboarding,Medium,8,4,0
67,44,Enterprise,2022-09-16,2022-09-16,Integration,Critical,1,2,0
68,44,Enterprise,2022-10-05,2022-10-06,Feature Request,Medium,33,5,0
69,44,Enterprise,2022-09-22,2022-09-24,Integration,Low,64,5,0
70,44,Enterprise,2022-09-20,2022-09-20,Integration,Medium,18,3,0
71,44,Enterprise,2022-10-01,2022-10-02,Account,Medium,26,5,0
72,44,Business,2023-07-29,2023-07-29,Account,High,2,2,1
73,44,Business,2023-07-29,2023-08-02,Onboarding,Low,114,1,1
74,44,Business,2023-07-29,2023-08-02,Onboarding,Low,117,1,1
75,44,Business,2023-07-13,2023-07-14,Performance,Medium,43,2,1
76,44,Business,2023-08-02,2023-08-05,Performance,Low,82,1,1
77,44,Business,2023-08-03,2023-08-03,Performance,Critical,5,1,1
78,44,Business,2023-08-18,2023-08-22,Billing,Low,101,3,1
79,44,Business,2023-08-24,2023-08-24,Feature Request,Medium,18,3,1
80,44,Business,2023-08-20,2023-08-20,Feature Request,Medium,8,1,1
81,45,Starter,2022-02-27,2022-02-27,Integration,High,18,4,1
82,49,Business,2022-08-22,2022-08-25,Performance,Low,93,2,1
83,49,Business,2022-08-13,2022-08-17,Performance,Low,116,2,1
84,49,Business,2022-08-12,2022-08-13,Onboarding,Medium,34,4,1
85,49,Business,2022-09-12,2022-09-12,Onboarding,Medium,19,1,1
86,49,Business,2022-09-10,2022-09-11,Onboarding,High,24,2,1
87,57,Pro,2022-05-12,2022-05-12,Onboarding,High,15,4,0
88,57,Starter,2023-11-22,2023-11-24,Technical,Low,54,1,1
89,57,Starter,2023-11-16,2023-11-20,Feature Request,Low,119,2,1
90,63,Business,2022-04-13,2022-04-14,Billing,Medium,37,2,0
91,63,Business,2022-03-28,2022-03-29,Feature Request,Medium,33,1,0
92,63,Business,2022-03-28,2022-03-29,Onboarding,Low,41,5,0
93,63,Business,2022-04-03,2022-04-03,Billing,Critical,1,4,0
94,63,Business,2022-04-07,2022-04-08,Account,Medium,25,5,0
95,63,Business,2022-03-27,2022-03-27,Technical,Medium,21,1,0
96,63,Business,2022-05-12,2022-05-13,Integration,Medium,37,3,0
97,63,Business,2022-05-02,2022-05-02,Performance,High,12,2,0
98,63,Pro,2023-03-16,2023-03-20,Billing,Low,97,3,1
99,64,Business,2023-11-02,2023-11-03,Account,Medium,37,4,1
100,64,Business,2023-10-30,2023-10-31,Technical,Low,24,3,1
101,64,Business,2023-12-09,2023-12-09,Account,Critical,2,3,1
102,64,Business,2023-12-12,2023-12-14,Feature Request,Low,57,2,1
103,64,Business,2023-12-05,2023-12-05,Onboarding,Medium,20,1,1
104,64,Business,2023-11-23,2023-11-23,Onboarding,Critical,6,2,1
105,64,Business,2023-12-09,2023-12-11,Feature Request,Low,51,3,1
106,64,Business,2023-12-01,2023-12-05,Technical,Low,105,2,1
107,64,Business,2023-11-20,2023-11-22,Performance,Low,60,1,1
108,64,Business,2023-12-02,2023-12-03,Technical,Medium,30,3,1
109,70,Enterprise,2022-04-16,2022-04-20,Performance,Low,110,3,1
110,70,Enterprise,2022-04-06,2022-04-10,Technical,Low,118,2,1
111,70,Enterprise,2022-04-11,2022-04-12,Technical,Medium,30,3,1
112,70,Enterprise,2022-04-08,2022-04-08,Onboarding,Critical,8,1,1
113,70,Enterprise,2022-04-02,2022-04-02,Integration,Medium,21,2,1
114,70,Enterprise,2022-03-24,2022-03-24,Feature Request,High,12,5,1
115,70,Enterprise,2022-05-18,2022-05-20,Integration,Low,50,1,1
116,70,Enterprise,2022-05-04,2022-05-05,Feature Request,Medium,43,2,1
117,70,Enterprise,2022-04-30,2022-05-03,Feature Request,Low,92,2,1
118,70,Enterprise,2022-04-25,2022-04-25,Feature Request,High,17,1,1
119,70,Enterprise,2022-04-27,2022-04-28,Feature Request,Medium,33,2,1
120,70,Enterprise,2022-05-07,2022-05-08,Integration,High,24,2,1
121,70,Enterprise,2022-05-01,2022-05-01,Feature Request,High,17,2,1
122,70,Enterprise,2022-04-20,2022-04-22,Billing,Low,55,3,1
123,70,Enterprise,2022-04-24,2022-04-24,Integration,Medium,16,3,1
124,72,Business,2022-07-09,2022-07-10,Billing,Medium,35,4,0
125,72,Business,2022-07-01,2022-07-02,Billing,Medium,28,3,0
126,72,Enterprise,2023-03-21,2023-03-22,Technical,Low,35,2,1
127,72,Enterprise,2023-03-23,2023-03-23,Integration,Medium,11,2,1
128,72,Enterprise,2023-04-04,2023-04-05,Integration,Low,37,4,1
129,72,Enterprise,2023-04-08,2023-04-08,Integration,Medium,13,3,1
130,72,Enterprise,2023-03-22,2023-03-22,Onboarding,High,7,2,1
131,72,Enterprise,2023-05-04,2023-05-04,Feature Request,High,22,1,1
132,72,Enterprise,2023-05-05,2023-05-09,Integration,Low,97,2,1
133,72,Enterprise,2023-05-03,2023-05-07,Onboarding,Low,109,5,1
134,72,Enterprise,2023-04-27,2023-04-27,Technical,Critical,1,4,1
135,72,Enterprise,2023-04-27,2023-04-28,Performance,Low,28,1,1
136,72,Enterprise,2023-04-25,2023-04-26,Technical,Medium,29,1,1
137,72,Enterprise,2023-04-20,2023-04-23,Billing,Low,81,1,1
138,72,Enterprise,2023-04-26,2023-04-26,Billing,Medium,20,3,1
139,72,Enterprise,2023-05-08,2023-05-08,Technical,High,23,4,1
140,72,Enterprise,2023-05-06,2023-05-07,Billing,Low,41,5,1
141,72,Enterprise,2023-05-12,2023-05-12,Integration,Medium,10,3,1
142,72,Enterprise,2023-05-08,2023-05-08,Account,Medium,21,3,1
143,73,Pro,2023-08-24,2023-08-28,Feature Request,Low,99,3,0
144,76,Enterprise,2024-11-06,2024-11-09,Technical,Low,93,4,0
145,76,Enterprise,2024-11-03,2024-11-07,Integration,Low,114,5,0
146,76,Enterprise,2024-11-19,2024-11-20,Billing,Low,27,5,0
147,76,Enterprise,2024-11-12,2024-11-14,Feature Request,Low,51,4,0
148,76,Enterprise,2024-10-26,2024-10-27,Technical,Medium,31,4,0
149,76,Enterprise,2024-12-20,2024-12-20,Account,Medium,20,5,0
150,76,Enterprise,2024-11-28,2024-11-28,Feature Request,High,10,3,0
151,76,Business,2025-01-20,2025-01-23,Onboarding,Low,90,4,0
152,81,Starter,2022-04-15,2022-04-15,Onboarding,Critical,3,1,1
153,82,Business,2024-09-13,2024-09-16,Onboarding,Low,82,1,1
154,82,Business,2024-10-09,2024-10-09,Integration,High,20,2,1
155,82,Business,2024-09-26,2024-09-26,Billing,Medium,15,2,1
156,82,Business,2024-10-22,2024-10-25,Account,Low,84,3,1
157,82,Business,2024-10-09,2024-10-12,Onboarding,Low,77,3,1
158,82,Business,2024-10-09,2024-10-12,Billing,Low,82,2,1
159,84,Pro,2022-03-30,2022-03-30,Performance,Medium,21,2,1
160,84,Pro,2022-04-13,2022-04-13,Technical,High,18,4,1
161,84,Pro,2022-04-06,2022-04-08,Integration,Low,63,2,1
162,84,Pro,2022-05-17,2022-05-17,Billing,High,22,3,1
163,84,Pro,2022-05-07,2022-05-09,Technical,Low,61,2,1
164,84,Pro,2022-04-26,2022-04-27,Technical,High,24,2,1
165,84,Pro,2022-05-20,2022-05-21,Technical,Medium,43,1,1
166,87,Enterprise,2025-01-06,2025-01-06,Technical,Medium,21,3,0
167,87,Enterprise,2025-01-10,2025-01-10,Account,High,2,4,0
168,87,Enterprise,2024-12-31,2024-12-31,Account,Medium,8,5,0
169,87,Enterprise,2024-12-31,2025-01-01,Onboarding,Medium,35,3,0
170,98,Starter,2022-06-13,2022-06-14,Technical,Medium,37,3,1
171,103,Pro,2023-07-13,2023-07-13,Performance,High,9,3,1
172,103,Pro,2023-07-31,2023-08-03,Billing,Low,95,4,1
173,103,Pro,2023-07-22,2023-07-22,Billing,Medium,16,4,1
174,103,Pro,2023-07-10,2023-07-11,Account,Medium,38,4,1
175,103,Pro,2023-07-29,2023-07-29,Performance,Medium,8,1,1
176,103,Pro,2023-08-22,2023-08-22,Feature Request,High,4,2,1
177,103,Pro,2023-08-02,2023-08-04,Account,Low,60,2,1
178,103,Pro,2023-08-27,2023-08-30,Feature Request,Low,90,1,1
179,104,Starter,2022-08-29,2022-08-31,Integration,Low,70,4,0
180,104,Pro,2022-11-12,2022-11-13,Technical,Medium,32,3,0
181,104,Business,2024-12-22,2024-12-23,Feature Request,Medium,38,5,0
182,104,Business,2024-12-08,2024-12-09,Performance,Low,41,1,0
183,107,Pro,2022-07-03,2022-07-03,Billing,High,21,5,0
184,107,Business,2022-09-10,2022-09-10,Performance,Critical,5,4,0
185,107,Business,2022-09-16,2022-09-17,Feature Request,Medium,28,3,0
186,107,Enterprise,2023-03-28,2023-03-30,Billing,Medium,48,1,0
187,107,Enterprise,2023-03-22,2023-03-22,Onboarding,Medium,22,4,0
188,107,Enterprise,2023-04-02,2023-04-03,Feature Request,Medium,40,4,0
189,107,Enterprise,2023-04-29,2023-04-30,Integration,Low,33,3,0
190,107,Enterprise,2023-04-29,2023-04-30,Technical,Medium,27,1,0
191,107,Enterprise,2023-04-21,2023-04-25,Billing,Low,96,3,0
192,107,Enterprise,2023-04-12,2023-04-14,Integration,Low,58,3,0
193,107,Enterprise,2023-04-13,2023-04-13,Technical,Critical,1,4,0
194,107,Business,2024-12-07,2024-12-08,Billing,Low,25,5,0
195,107,Business,2024-12-20,2024-12-20,Account,Critical,3,5,0
196,110,Business,2024-04-19,2024-04-21,Onboarding,Low,65,2,0
197,110,Business,2024-04-14,2024-04-14,Performance,High,3,2,0
198,110,Pro,2024-12-24,2024-12-28,Integration,Low,112,2,0
199,112,Enterprise,2024-06-09,2024-06-09,Integration,High,22,5,0
200,112,Enterprise,2024-07-02,2024-07-05,Integration,Low,94,4,0
201,112,Enterprise,2024-06-09,2024-06-09,Onboarding,Medium,17,2,0
202,112,Enterprise,2024-07-03,2024-07-04,Onboarding,Medium,36,5,0
203,112,Enterprise,2024-06-10,2024-06-10,Feature Request,Medium,11,5,0
204,112,Enterprise,2024-06-19,2024-06-22,Feature Request,Low,92,4,0
205,112,Business,2025-01-01,2025-01-01,Feature Request,Critical,6,5,0
206,112,Business,2024-12-09,2024-12-10,Technical,Medium,46,4,0
207,112,Business,2024-12-16,2024-12-17,Feature Request,Medium,46,4,0
208,115,Business,2023-06-29,2023-06-29,Performance,High,11,4,0
209,115,Enterprise,2024-12-09,2024-12-11,Performance,Low,70,4,0
210,115,Enterprise,2024-12-11,2024-12-11,Feature Request,Medium,11,2,0
211,115,Enterprise,2024-12-17,2024-12-18,Account,Medium,42,4,0
212,116,Pro,2025-01-01,2025-01-04,Account,Low,80,2,0
213,118,Pro,2022-10-27,2022-10-27,Integration,High,3,3,0
214,118,Pro,2022-10-23,2022-10-23,Onboarding,Medium,20,4,0
215,118,Pro,2022-10-17,2022-10-17,Account,Medium,22,3,0
216,118,Business,2023-02-27,2023-02-27,Feature Request,Medium,20,3,1
217,118,Business,2023-03-03,2023-03-03,Account,High,17,3,1
218,118,Business,2023-03-09,2023-03-12,Performance,Low,89,1,1
219,118,Business,2023-02-18,2023-02-18,Feature Request,Critical,4,1,1
220,118,Business,2023-02-28,2023-03-01,Feature Request,Medium,36,2,1
221,118,Business,2023-02-18,2023-02-20,Integration,Low,67,1,1
222,123,Starter,2022-06-09,2022-06-10,Technical,High,24,3,1
223,123,Starter,2022-06-21,2022-06-24,Billing,Low,85,2,1
224,126,Enterprise,2022-08-20,2022-08-21,Billing,Low,31,2,0
225,126,Enterprise,2022-08-28,2022-08-29,Technical,Low,32,4,0
226,126,Enterprise,2022-08-23,2022-08-24,Technical,Medium,46,5,0
227,126,Enterprise,2022-08-14,2022-08-14,Technical,Medium,17,4,0
228,126,Enterprise,2022-09-17,2022-09-19,Performance,Low,60,4,0
229,126,Enterprise,2022-09-30,2022-10-01,Performance,Medium,46,3,0
230,126,Enterprise,2022-09-11,2022-09-11,Feature Request,Medium,23,4,0
231,126,Enterprise,2022-09-29,2022-09-29,Performance,Critical,7,2,0
232,126,Business,2024-12-19,2024-12-20,Onboarding,Medium,38,1,0
233,128,Pro,2023-05-21,2023-05-21,Onboarding,Critical,5,4,1
234,128,Pro,2023-05-16,2023-05-17,Technical,Medium,28,4,1
235,128,Pro,2023-06-20,2023-06-24,Technical,Low,106,2,1
236,130,Enterprise,2024-03-28,2024-03-28,Billing,High,6,5,0
237,130,Enterprise,2024-03-21,2024-03-21,Integration,High,8,3,0
238,130,Enterprise,2024-03-25,2024-03-29,Integration,Low,100,2,0
239,130,Enterprise,2024-03-13,2024-03-16,Onboarding,Low,73,2,0
240,130,Enterprise,2024-05-06,2024-05-06,Billing,High,13,4,0
241,130,Enterprise,2024-04-18,2024-04-19,Technical,Medium,33,3,0
242,130,Enterprise,2024-05-02,2024-05-02,Onboarding,High,14,4,0
243,130,Business,2024-12-17,2024-12-17,Integration,Medium,23,4,0
244,130,Business,2024-12-18,2024-12-19,Performance,Medium,26,3,0
245,132,Starter,2022-03-27,2022-03-30,Technical,Low,76,2,1
246,132,Starter,2022-03-24,2022-03-24,Feature Request,High,14,4,1
247,132,Starter,2022-04-13,2022-04-16,Performance,Low,92,4,1
248,134,Starter,2022-06-11,2022-06-15,Technical,Low,109,4,0
249,134,Starter,2022-05-14,2022-05-15,Technical,Low,45,2,0
250,134,Starter,2022-06-15,2022-06-17,Billing,Low,60,5,0
251,134,Starter,2022-07-01,2022-07-04,Technical,Low,94,5,0
252,134,Starter,2023-01-28,2023-02-01,Feature Request,Low,107,4,0
253,134,Starter,2023-02-25,2023-02-26,Performance,Medium,43,4,0
254,134,Starter,2023-04-12,2023-04-13,Feature Request,Medium,38,4,0
255,134,Starter,2023-05-30,2023-05-30,Account,Medium,10,5,0
256,134,Starter,2023-07-25,2023-07-26,Feature Request,Medium,27,4,0
257,134,Starter,2023-08-08,2023-08-09,Integration,Medium,24,3,0
258,134,Starter,2023-07-13,2023-07-15,Performance,Low,56,4,0
259,134,Starter,2023-07-31,2023-08-01,Performance,Low,29,2,0
260,134,Starter,2023-10-12,2023-10-12,Feature Request,Critical,7,5,0
261,134,Starter,2023-12-05,2023-12-06,Feature Request,Low,46,5,0
262,134,Starter,2024-01-10,2024-01-12,Billing,Medium,48,4,0
263,134,Starter,2024-01-11,2024-01-11,Onboarding,High,2,5,0
264,134,Starter,2024-02-26,2024-02-27,Billing,Medium,24,2,0
265,134,Starter,2024-02-15,2024-02-16,Onboarding,Low,29,5,0
266,134,Starter,2024-03-21,2024-03-23,Performance,Low,53,2,0
267,134,Starter,2024-04-17,2024-04-17,Performance,Medium,8,3,0
268,134,Starter,2024-05-02,2024-05-04,Feature Request,Low,69,4,0
269,134,Starter,2024-07-02,2024-07-02,Integration,High,3,5,0
270,134,Starter,2024-06-13,2024-06-16,Billing,Low,72,3,0
271,134,Starter,2024-08-14,2024-08-14,Feature Request,Medium,21,3,0
272,134,Starter,2024-09-03,2024-09-06,Integration,Low,89,5,0
273,134,Starter,2024-09-03,2024-09-06,Feature Request,Low,87,4,0
274,134,Starter,2024-08-12,2024-08-12,Account,Medium,15,4,0
275,134,Starter,2024-09-28,2024-09-28,Integration,Medium,22,4,0
276,134,Starter,2024-11-27,2024-11-28,Integration,Medium,37,4,0
277,134,Starter,2024-12-05,2024-12-06,Billing,Medium,30,4,0
278,136,Enterprise,2022-10-26,2022-10-30,Performance,Low,104,3,1
279,136,Enterprise,2022-10-17,2022-10-18,Onboarding,Medium,41,1,1
280,136,Enterprise,2022-10-20,2022-10-24,Technical,Low,118,2,1
281,136,Enterprise,2022-10-30,2022-10-31,Billing,Low,47,4,1
282,136,Enterprise,2022-12-04,2022-12-04,Onboarding,Medium,21,5,1
283,136,Enterprise,2022-11-22,2022-11-23,Technical,Medium,45,2,1
284,136,Enterprise,2022-12-09,2022-12-13,Onboarding,Low,111,1,1
285,136,Enterprise,2022-12-11,2022-12-12,Performance,Medium,46,3,1
286,136,Enterprise,2022-12-02,2022-12-04,Account,Medium,48,1,1
287,136,Enterprise,2022-11-16,2022-11-17,Integration,Medium,47,3,1
288,136,Enterprise,2022-11-17,2022-11-17,Onboarding,Medium,23,3,1
289,136,Enterprise,2022-11-30,2022-12-01,Technical,Medium,35,1,1
290,139,Starter,2024-09-30,2024-09-30,Feature Request,High,19,3,0
291,139,Starter,2024-09-15,2024-09-18,Performance,Low,77,4,0
292,139,Starter,2024-09-26,2024-09-29,Onboarding,Low,81,4,0
293,139,Pro,2025-01-07,2025-01-07,Billing,Critical,8,4,0
294,143,Pro,2022-12-10,2022-12-11,Onboarding,Low,44,3,0
295,143,Business,2023-03-05,2023-03-09,Onboarding,Low,106,3,0
296,143,Business,2023-03-18,2023-03-19,Feature Request,Medium,39,4,0
297,143,Business,2023-03-17,2023-03-17,Billing,High,8,1,0
298,143,Pro,2025-01-06,2025-01-10,Onboarding,Low,100,4,0
299,151,Enterprise,2022-08-30,2022-08-31,Integration,Medium,33,2,1
300,151,Enterprise,2022-09-16,2022-09-17,Onboarding,Medium,42,3,1
301,151,Enterprise,2022-09-18,2022-09-19,Feature Request,Low,36,3,1
302,151,Enterprise,2022-08-25,2022-08-25,Performance,Medium,19,3,1
303,151,Enterprise,2022-08-31,2022-09-01,Billing,Low,47,3,1
304,151,Enterprise,2022-09-06,2022-09-06,Billing,Critical,6,2,1
305,151,Enterprise,2022-09-06,2022-09-09,Integration,Low,94,1,1
306,151,Enterprise,2022-10-09,2022-10-09,Onboarding,High,16,3,1
307,151,Enterprise,2022-10-07,2022-10-08,Onboarding,Low,30,2,1
308,151,Enterprise,2022-09-20,2022-09-24,Onboarding,Low,104,1,1
309,151,Enterprise,2022-09-22,2022-09-22,Performance,High,20,1,1
310,151,Enterprise,2022-09-26,2022-09-26,Onboarding,Critical,6,2,1
311,151,Enterprise,2022-10-05,2022-10-05,Technical,High,21,2,1
312,151,Enterprise,2022-09-24,2022-09-26,Account,Low,52,2,1
313,151,Enterprise,2022-10-08,2022-10-09,Feature Request,Medium,32,5,1
314,151,Enterprise,2022-10-18,2022-10-20,Performance,Low,53,1,1
315,151,Enterprise,2022-10-07,2022-10-07,Onboarding,Medium,15,4,1
316,151,Enterprise,2022-10-12,2022-10-12,Feature Request,High,23,5,1
317,155,Enterprise,2025-01-06,2025-01-07,Performance,Medium,46,4,0
318,155,Enterprise,2025-01-16,2025-01-17,Feature Request,Low,32,3,0
319,155,Enterprise,2024-12-29,2024-12-30,Integration,Medium,39,4,0
320,155,Enterprise,2024-12-27,2024-12-30,Integration,Low,75,1,0
321,155,Enterprise,2024-12-23,2024-12-24,Billing,Medium,46,4,0
322,155,Enterprise,2025-01-08,2025-01-08,Technical,High,10,2,0
323,155,Enterprise,2024-12-31,2024-12-31,Onboarding,Critical,6,3,0
324,155,Enterprise,2025-01-05,2025-01-06,Feature Request,Low,47,5,0
325,159,Pro,2022-04-13,2022-04-13,Feature Request,High,23,5,0
326,159,Pro,2022-04-27,2022-04-29,Integration,Low,53,4,0
327,159,Pro,2022-05-20,2022-05-21,Technical,Medium,47,4,0
328,159,Pro,2022-05-01,2022-05-02,Performance,Medium,30,3,0
329,159,Starter,2023-03-14,2023-03-15,Billing,Medium,36,2,1
330,161,Business,2025-01-06,2025-01-10,Technical,Low,104,5,0
331,161,Business,2025-01-03,2025-01-03,Integration,High,20,4,0
332,161,Business,2025-01-23,2025-01-23,Performance,Critical,6,2,0
333,163,Starter,2022-09-12,2022-09-14,Integration,Low,69,2,1
334,163,Starter,2022-09-16,2022-09-16,Onboarding,Critical,7,4,1
335,163,Starter,2022-10-23,2022-10-25,Integration,Low,58,4,1
336,163,Starter,2022-10-09,2022-10-10,Onboarding,Medium,36,3,1
337,175,Enterprise,2024-12-30,2024-12-31,Billing,Low,42,3,0
338,175,Enterprise,2024-12-20,2024-12-20,Billing,High,12,3,0
339,175,Enterprise,2024-12-10,2024-12-10,Performance,Medium,16,4,0
340,175,Enterprise,2024-12-12,2024-12-16,Integration,Low,116,3,0
341,176,Business,2022-04-02,2022-04-02,Account,Critical,2,2,1
342,181,Starter,2022-11-21,2022-11-22,Feature Request,Medium,24,1,1
343,183,Starter,2022-06-19,2022-06-22,Technical,Low,75,1,1
344,183,Starter,2022-06-12,2022-06-16,Performance,Low,111,3,1
345,188,Enterprise,2022-11-18,2022-11-18,Billing,High,3,1,0
346,188,Business,2024-12-23,2024-12-24,Technical,High,24,2,0
347,189,Starter,2022-07-09,2022-07-11,Feature Request,Low,67,2,1
348,189,Starter,2022-08-11,2022-08-13,Account,Low,56,3,1
349,189,Starter,2022-08-21,2022-08-21,Account,High,13,2,1
350,194,Enterprise,2023-02-26,2023-02-26,Feature Request,Medium,8,5,0
351,194,Business,2023-12-31,2024-01-03,Account,Low,74,3,1
352,194,Business,2023-12-14,2023-12-14,Integration,Medium,23,2,1
353,194,Business,2024-01-25,2024-01-25,Billing,Critical,1,2,1
354,194,Business,2024-01-29,2024-01-30,Billing,Low,43,3,1
355,194,Business,2024-01-09,2024-01-10,Technical,Medium,42,2,1
356,194,Business,2024-01-11,2024-01-15,Onboarding,Low,118,2,1
357,194,Business,2024-01-30,2024-02-02,Billing,Low,95,2,1
358,204,Enterprise,2023-08-14,2023-08-14,Integration,High,13,5,0
359,204,Enterprise,2023-08-30,2023-09-01,Onboarding,Medium,48,4,0
360,204,Enterprise,2023-10-02,2023-10-06,Onboarding,Low,111,4,0
361,204,Enterprise,2023-09-19,2023-09-19,Performance,Medium,17,5,0
362,204,Enterprise,2023-09-21,2023-09-23,Billing,Low,58,4,0
363,204,Enterprise,2023-09-12,2023-09-16,Integration,Low,105,4,0
364,204,Enterprise,2023-10-03,2023-10-04,Feature Request,Medium,32,4,0
365,204,Enterprise,2023-09-10,2023-09-14,Technical,Low,109,2,0
366,204,Business,2024-10-11,2024-10-15,Technical,Low,105,3,1
367,204,Business,2024-11-07,2024-11-10,Performance,Low,91,3,1
368,204,Business,2024-10-15,2024-10-15,Billing,High,13,2,1
369,204,Business,2024-10-13,2024-10-13,Integration,Medium,19,2,1
370,204,Business,2024-10-22,2024-10-23,Technical,Medium,28,1,1
371,204,Business,2024-10-16,2024-10-17,Integration,Low,38,3,1
372,204,Business,2024-10-14,2024-10-14,Performance,Medium,22,1,1
373,204,Business,2024-11-30,2024-12-02,Feature Request,Low,57,4,1
374,204,Business,2024-11-30,2024-11-30,Technical,Medium,20,3,1
375,204,Business,2024-11-19,2024-11-19,Technical,High,7,3,1
376,214,Pro,2023-08-12,2023-08-16,Integration,Low,97,3,0
377,214,Pro,2023-09-03,2023-09-04,Integration,Medium,35,3,0
378,214,Business,2024-05-29,2024-05-29,Account,Medium,17,4,1
379,214,Business,2024-05-22,2024-05-22,Feature Request,Critical,4,2,1
380,214,Business,2024-07-09,2024-07-12,Onboarding,Low,89,3,1
381,214,Business,2024-06-24,2024-06-25,Technical,Medium,31,1,1
382,214,Business,2024-06-19,2024-06-19,Performance,Critical,4,2,1
